Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00242324,-5.699E-05,0.04030078,0,0,0,2.1609,0.00900968,-2.533E-05,-0.00013112,0.00978166,2E-07,0.00416554,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/base_link.STL,,08-新版本-Π-身体框架Base-1;08-新版本-Π-腿部Base-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_pitch_link,0.00089428,-0.05527744,-0.00027276,0,0,0,0.36999771,8.307E-05,2E-07,-5E-08,9.81E-05,-7E-07,0.0001085,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_hip_pitch_link.STL,,08-新版本-Π-腿部-右-2/08-新版本-Π-腿部一关节-右-1,yt-1,yt1,r_hip_pitch_joint,revolute,-5.1979E-05,-0.0233,-0.033,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,-0.00180153,0.00025956,-0.0608194,0,0,0,0.38851552,0.00027042,3.9E-07,3.312E-05,0.0003342,8.7E-07,0.00013617,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_hip_roll_link.STL,,08-新版本-Π-腿部-右-2/08-新版本-Π-腿部二关节-右-1,yt-2,yt2,r_hip_roll_joint,revolute,0.00025,-0.0568,0,0,0,0,r_hip_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_hip_yaw_link,0,0.00116854,-0.04755896,0,0,0,0.11270879,0.00012496,0,0,5.82E-05,3.19E-06,9.438E-05,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_hip_yaw_link.STL,,08-新版本-Π-腿部-右-2/08-新版本-Π-腿部三关节-右-1,yt-3,yt3,r_hip_yaw_joint,revolute,-0.00025,0,-0.06925,0,0,0,r_hip_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
r_calf_link,-0.00024224,-0.00035211,-0.04545504,0,0,0,0.60334131,0.00214666,2.4E-07,6.4E-07,0.00212643,2.532E-05,0.00017314,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_calf_link.STL,,08-新版本-Π-腿部-右-2/08-新版本-Π-腿部四关节-右-1,yt-4,yt4,r_calf_joint,revolute,0,-0.0027,-0.07025,0,0,0,r_hip_yaw_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_pitch_link,0.00467932,0.00347699,0,0,0,0,0.1759244,0.00011981,6.4E-07,0,0.00022179,0,0.00030766,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_ankle_pitch_link.STL,,08-新版本-Π-腿部-右-2/08-新版本-Π-腿部五关节-右-1,yt-5,yt5,r_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,r_calf_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_roll_link,-0.02383679,0.00019256,-0.0144649,0,0,0,0.51868476,0.0003308,-2.49E-06,-0.00018245,0.00113168,-1.06E-06,0.00098381,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/r_ankle_roll_link.STL,,08-新版本-Π-腿部-右-2/08-新版本-Π-腿部六关节-右-1,yt-6,yt6,r_ankle_roll_joint,revolute,0.07525,0.0027,0,0,0,0,r_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_hip_pitch_link,0.00086268,0.05441908,-0.00025859,0,0,0,0.38968624,0.00010076,-4.2E-07,-4E-08,0.00010507,-3E-07,0.00012834,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_hip_pitch_link.STL,,08-新版本-Π-腿部-左-1/08-新版本-Π-腿部一关节-左-1,zt-1,zt1,l_hip_pitch_joint,revolute,-5.1979E-05,0.0233,-0.033,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,-0.00207707,0.00026598,-0.0608194,0,0,0,0.38851552,0.00027068,-7.6E-07,3.136E-05,0.0003332,8.8E-07,0.00013543,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_hip_roll_link.STL,,08-新版本-Π-腿部-左-1/08-新版本-Π-腿部二关节-左-1,zt-2,zt2,l_hip_roll_joint,revolute,0,0.0568,0,0,0,0,l_hip_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_hip_yaw_link,0,-0.00115822,-0.04755896,0,0,0,0.11270879,0.00012497,0,0,5.82E-05,-3.21E-06,9.438E-05,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_hip_yaw_link.STL,,08-新版本-Π-腿部-左-1/08-新版本-Π-腿部三关节-左-1,zt-3,zt3,l_hip_yaw_joint,revolute,0,0,-0.06925,0,0,0,l_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
l_calf_link,0.00024224,0.00305211,-0.04545504,0,0,0,0.60334131,0.00214666,2.4E-07,-6.4E-07,0.00212643,-2.532E-05,0.00017314,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_calf_link.STL,,08-新版本-Π-腿部-左-1/08-新版本-Π-腿部四关节-左-1,zt-4,zt4,l_calf_joint,revolute,0,0,-0.07025,0,0,0,l_hip_yaw_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_pitch_link,0.00467932,-0.00077699,0,0,0,0,0.1759244,0.00011981,-6.4E-07,0,0.00022179,0,0.00030766,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_ankle_pitch_link.STL,,08-新版本-Π-腿部-左-1/08-新版本-Π-腿部五关节-左-1,zt-5,zt5,l_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,l_calf_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_roll_link,-0.02383679,0.00019256,-0.0144649,0,0,0,0.51868476,0.0003308,-2.49E-06,-0.00018245,0.00113168,-1.06E-06,0.00098381,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_12dof_release_v1/meshes/l_ankle_roll_link.STL,,08-新版本-Π-腿部-左-1/08-新版本-Π-腿部六关节-左-1,zt-6,zt6,l_ankle_roll_joint,revolute,0.07525,0,0,0,0,0,l_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
